run_id,q,g,L,omega,center_ldos,edge_ldos,local_difference,G_1L_abs,G_L1_abs,stripped_1L_abs,covariance_error
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2300000000000004,0.0203897852294998,0.0197326032991448,9.44607507504893e-16,3.845686322530174e-08,0.0062590387528637,1.5514605932498615e-05,2.1513660340458424e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2400000000000002,0.0224863503805492,0.0216200976846503,2.563148888826738e-15,5.7258721685952365e-08,0.0093191313049172,2.309981700670007e-05,2.1537323132536587e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.25,0.0250731896950807,0.0239258514513394,3.5571561302006606e-16,8.772890207265627e-08,0.0142782991582523,3.539236511761402e-05,1.970076255886285e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2599999999999998,0.0283210060446954,0.0267916717428063,3.8559277963506344e-16,1.387724859306597e-07,0.0225858870023335,5.598481656899359e-05,2.6796360817936096e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2700000000000004,0.0324847847542324,0.0304279326148806,5.928593550334434e-16,2.2755517345530826e-07,0.0370356947920345,9.180230908010508e-05,2.6411966290280226e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2800000000000002,0.0379595338593118,0.0351580960054705,1.7521222364188105e-15,3.887784339988907e-07,0.0632755529336916,0.0001568444145641,3.0486515635035353e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.29,0.0453837123226885,0.0415006853623723,2.1355566272775288e-15,6.965559744470125e-07,0.1133678223327847,0.0002810107363713,4.272386866359634e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.2999999999999998,0.055841215521169,0.0503280876875519,1.8875832159447667e-15,1.319618262882421e-06,0.2147741951281464,0.0005323720036656,3.0757502815343833e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3100000000000005,0.0712761354337604,0.0631902169040995,1.4475537224895361e-15,2.671693407437505e-06,0.4348309032630151,0.001077838047945,4.135336843751985e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3200000000000003,0.0953713872090933,0.0829976223340775,6.491007950031388e-15,5.856275051460372e-06,0.9531368244927536,0.0023625899783722,2.797154476319846e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.33,0.1353001257899197,0.1154016009909546,1.8452761694870047e-15,1.407959012346111e-05,2.2915207538089875,0.0056801120563801,5.45981536369731e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3399999999999998,0.2034861217481011,0.170448523044634,4.095805194048e-15,3.7099710416535195e-05,6.038155630547105,0.0149670914122726,7.069673870493804e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3500000000000005,0.305722205066142,0.2554748962581351,1.49034777359612e-14,0.0001004334922391,16.34603208086312,0.0405177626002958,9.288386163828494e-15
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3600000000000003,0.390777229629178,0.3381912777047165,5.440092820663267e-15,0.0002308995193502,37.58000311059784,0.0931515145095222,1.7429425251902968e-14
green_green_d4703eb373b5,6.0,0.0759493670886076,80,0.3700000000000001,0.406319658775015,0.3661217403557029,1.0527818253729124e-14,0.0003892790356978,63.35702825880261,0.1570463717036149,1.5862568906053106e-14
