run_id,kind,L,U,filling,g,target_g,lambda,chi,status,message,accepted,s_min,metric_violation
generalization_branch_trial_c0f5dfa1ee2f,branch_trial,80,1.5,0.8,0.025,0.025,0.005994842503189421,0.04429622756032048,SUCCESS,SUCCESS,True,0.9999955265162507,0.0009862642604790515
generalization_branch_trial_c1643c16f275,branch_trial,40,1.0,0.8,0.05,0.05,0.09639734127719607,0.712285362484965,FAILED,NO_SCF_CONVERGENCE,False,0.9999999017785751,0.09736404198840048
generalization_branch_trial_c1665924d3cb,branch_trial,40,1.0,0.8,0.05,0.05,0.09631762968648631,0.7116963690694755,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999881,0.09723403109237887
generalization_branch_trial_c1b51d23ce14,branch_trial,24,3.0,0.8,0.05,0.05,0.03971534443248572,0.1318595871426066,FAILED,NO_SCF_CONVERGENCE,False,0.9999357175275311,0.012589669456899271
generalization_branch_trial_c1b6e25ab9ec,branch_trial,20,2.0,0.6,0.1,0.1,0.0014677992676220735,0.010845651130428824,SUCCESS,SUCCESS,True,0.999999958553003,3.128351973675967e-05
generalization_branch_trial_c20509171c21,branch_trial,48,2.0,1.0,0.05,0.05,4.354004653656653e-05,0.0004799496125939165,SUCCESS,SUCCESS,True,0.9999999999353024,1.801117267459613e-07
generalization_branch_trial_c2b739a9afc2,branch_trial,20,2.0,1.0,0.1,0.1,0.00035938136638046403,0.002655489077095598,SUCCESS,SUCCESS,True,0.9999999806639455,4.960034729025164e-05
generalization_branch_trial_c2dcc2520694,branch_trial,40,1.0,0.8,0.05,0.05,0.0963202949195422,0.7117160626260421,FAILED,NO_SCF_CONVERGENCE,False,0.999999999687378,0.09723833848622494
generalization_branch_trial_c2e1cc7ecf05,branch_trial,40,1.0,0.8,0.05,0.05,0.0963174403498886,0.7116949700507335,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999992,0.09723371949559233
generalization_branch_trial_c342c5774e32,branch_trial,24,1.5,0.8,0.05,0.05,2.782559402207126e-10,9.238422559787572e-10,SUCCESS,SUCCESS,True,0.9999999999999993,1.7748668296549507e-11
generalization_branch_trial_c3c00476039d,branch_trial,40,1.0,0.8,0.05,0.05,0.0963176471334949,0.7116964979864008,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999889,0.09723404005481963
generalization_branch_trial_c41e31ce0760,branch_trial,40,1.5,0.8,0.05,0.05,0.0029663488391777374,0.021918517981682116,SUCCESS,SUCCESS,True,0.9999995646810641,0.0004340523212912542
generalization_branch_trial_c44d6aa45fd9,branch_trial,40,1.5,0.8,0.1,0.1,0.1,5.459815003314424,SUCCESS,SUCCESS,True,0.8164564940954843,0.24237159287968177
generalization_branch_trial_c48d7faeebbd,branch_trial,40,1.0,0.8,0.05,0.05,0.09814144203619961,0.7251726208354297,FAILED,NO_SCF_CONVERGENCE,False,0.9999987123508319,0.10021904103007187
generalization_branch_trial_c4a7a88afce0,branch_trial,40,1.5,0.8,0.05,0.05,0.005994842503189421,0.04429622756032048,SUCCESS,SUCCESS,True,0.9999940299184099,0.0006404847503766142
generalization_branch_trial_c514eb11191f,branch_trial,40,1.0,0.8,0.05,0.05,0.09722515685235147,0.7184021382093568,FAILED,NO_SCF_CONVERGENCE,False,0.9999996812074979,0.09871659712175984
generalization_branch_trial_c51de0356b38,branch_trial,20,2.5,0.8,0.1,0.1,0.1,0.7389056098930651,SUCCESS,SUCCESS,True,0.9953475719809162,0.11154541001433882
generalization_branch_trial_c546a12fa5ae,branch_trial,24,3.0,0.8,0.05,0.05,7.742636826811277e-08,2.570645955529933e-07,SUCCESS,SUCCESS,True,0.9999999999999994,2.439852034327147e-13
generalization_branch_trial_c5a5ac3d68f7,branch_trial,40,2.0,1.0,0.05,0.05,0.0014677992676220735,0.010845651130428824,SUCCESS,SUCCESS,True,0.9999999229802873,0.00013757058377132325
generalization_branch_trial_c5f2c3a0a661,branch_trial,96,1.5,0.8,0.025,0.025,0.1,1.1023176380641606,SUCCESS,SUCCESS,True,0.9881005929849117,0.17582743282650706
generalization_branch_trial_c5fe8afa869f,branch_trial,40,1.0,0.8,0.05,0.05,0.09631742699806028,0.711694871393325,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999996,0.09723370030117089
generalization_branch_trial_c64a7c7eef53,branch_trial,40,1.0,0.8,0.05,0.05,0.0963244824556575,0.7117470045653145,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999807286,0.09724522647908439
generalization_branch_trial_c655cb122532,branch_trial,40,2.0,1.0,0.05,0.05,4.641588833612792e-09,3.4296960279735006e-08,SUCCESS,SUCCESS,True,0.9999999999999996,3.3690860256242542e-12
generalization_branch_trial_c668dd33fa37,branch_trial,40,1.0,0.8,0.05,0.05,0.09632419261520825,0.7117448629179752,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999807246,0.0972447497406161
generalization_branch_trial_c6fc8a5b4838,branch_trial,24,1.0,0.8,0.1,0.1,0.024484367468222294,0.2698955011706577,SUCCESS,SUCCESS,True,0.9998694090612668,0.05806753335608206
generalization_branch_trial_c71106705f36,branch_trial,24,3.0,0.8,0.05,0.05,0.04931198375397412,0.16372155175527922,FAILED,NO_SCF_CONVERGENCE,False,0.9998955057938378,0.018887213679521307
generalization_branch_trial_c73d73727104,branch_trial,24,3.0,0.8,0.05,0.05,0.05739147525928802,0.19054640822917807,SUCCESS,SUCCESS,True,0.999994284969644,0.02492327177594507
generalization_branch_trial_c78ca3e8da20,branch_trial,24,3.0,0.8,0.1,0.1,0.012115276586285901,0.133548830710887,FAILED,NO_SCF_CONVERGENCE,False,0.9999772204714468,0.00783818941240919
generalization_branch_trial_c7aa18c07c12,branch_trial,40,1.0,0.8,0.1,0.1,0.034807005884284134,1.9003981294746795,SUCCESS,SUCCESS,True,0.7729425597821721,0.1474138483983738
generalization_branch_trial_c7d5454c941d,branch_trial,40,1.0,0.8,0.05,0.05,0.09631830875782874,0.7117013867657199,FAILED,NO_SCF_CONVERGENCE,False,0.999999999999699,0.09723512461660462
generalization_branch_trial_c878d9d1835d,branch_trial,24,3.0,0.8,0.1,0.1,0.014287226068106642,0.15749061293884015,SUCCESS,SUCCESS,True,0.9999973246542276,0.010671394950429753
generalization_branch_trial_c88262b1af3a,branch_trial,40,1.5,0.8,0.05,0.05,2.1544346900318867e-05,0.00015919238786127877,SUCCESS,SUCCESS,True,0.9999999999139858,4.137699132398647e-06
generalization_branch_trial_c88940de1b98,branch_trial,20,3.0,0.8,0.1,0.1,4.641588833612792e-09,3.4296960279735006e-08,SUCCESS,SUCCESS,True,0.9999999999999996,2.5516480484760776e-13
generalization_branch_trial_c928df871e31,branch_trial,40,1.0,0.8,0.05,0.05,0.09631764433332285,0.7116964772957723,FAILED,NO_SCF_CONVERGENCE,False,0.9999999999999855,0.0972340310512435
generalization_branch_trial_c94288a9fbfd,branch_trial,24,3.0,0.8,0.1,0.1,0.012115276586285901,0.133548830710887,SUCCESS,SUCCESS,True,0.9999986120340741,0.007838146260896251
generalization_branch_trial_c9eb93bd38a3,branch_trial,24,1.5,0.8,0.05,0.05,0.005994842503189421,0.019903578043979527,SUCCESS,SUCCESS,True,0.9999962545399559,0.0009949670542843425
